6.07	0.45	6.68
7.14	2.36	5.8
2.98	0.69	4.98
5.88	0.21	11.35
2.57	0.37	-0.06
2.01	12.36	-14.86
3.29	0.27	-4.62
2.96	0.85	2.98
5.98	1.25	6.64
7.34	2.26	7.82
7.1	1.23	12.73
11.75	0.13	20.7
2.93	7.62	-6.05
10.07	1.19	17.9
6.18	2.99	9.04
1.67	47.05	-33.65
4.63	19.37	-7.8
1.58	0.77	-1.84
5.14	0.71	7.61
8.64	33.72	-11.03
-40.63	0.37	-93.7
9.76	0.08	15.56
1.68	0.1	-2.33
7.45	0.05	13.03
7.12	2.87	8.79
5.91	17.19	-6.63
8.9	3.23	15.7
3.68	0.02	2.85
9.06	10.8	5.76
6.77	0.21	10.5
9.69	41.28	-15.77
5.36	5.93	-0.89
3.04	2.01	0.26
-0.19	3.74	-8.96
7.21	1.29	11.71
4.95	1.24	5.91
4.55	0.12	6.11
8.93	4.72	8.85
7.58	3.93	8.57
6.44	0.74	3.48
4.08	247.35	-190.63
9.11	10.43	8.62
4.67	3.29	3.4
7.05	4.3	5.38
6.48	31.79	-9.19
0.67	0	-3.19
8.89	0	12.34
9.63	0	10.15
19.86	0	32.2
-5.07	0	-17.44
2.42	0	-53.52
2.64	0	-3.63
2.63	0	-327.87
6.37	0	8.52
2.69	0	-6.14
2.7	0	-2.33
1.6	0	-40.66
7.66	0	11.8
4.78	0	3.41
0.88	0	-2.62

